"dates","serop","beta","conf.low","conf.high","inc","serop_diff","true_inf"
2021-12-15,0.0038231878786183,0.269248603656244,0.26667543697783,0.271821770334659,50,0.000807853480673437,412
2021-12-16,0.00463104135929173,0.263419908021764,0.261018780551257,0.26582103549227,48,0.000807853480673437,412
2021-12-17,0.00541729721784446,0.257825907984844,0.255594318156236,0.260057497813452,49,0.000786255858552724,401
2021-12-18,0.00620958496936226,0.252464543288245,0.250399616788536,0.254529469787954,51,0.000792287751517806,404
2021-12-19,0.00702128613992084,0.247333609059628,0.245432107683663,0.249235110435594,54,0.000811701170558581,414
2021-12-20,0.00785851167551391,0.242430786700574,0.240689111100652,0.244172462300496,57,0.000837225535593068,427
2021-12-21,0.00872363738806217,0.237753673593328,0.236167857075883,0.239339490110772,60,0.000865125712548254,441
2021-12-22,0.00961710622580527,0.233299811574738,0.23186550059727,0.234734122552205,64,0.000893468837743104,456
2021-12-23,0.0105383533546631,0.229066714144618,0.227779128642049,0.230354299647187,67,0.00092124712885778,470
2021-12-24,0.0114862847352647,0.22505189239157,0.223905754717361,0.226198030065779,71,0.000947931380601622,483
2021-12-25,0.0124595285557862,0.221252879633084,0.220242293279527,0.222263465986641,74,0.000973243820521531,496
2021-12-26,0.0134565697616262,0.217667254778515,0.21678550052605,0.218549009030981,77,0.000997041205839986,509
2021-12-27,0.0144758243924594,0.21429266443333,0.213531857885714,0.215053470980947,81,0.00101925463083318,520
2021-12-28,0.0155156827738869,0.211126843770855,0.210477359554484,0.211776327987225,84,0.00103985838142754,530
2021-12-29,0.0165745364719669,0.208167636203724,0.207617156517288,0.20871811589016,87,0.00105885369807996,540
2021-12-30,0.0176507966643625,0.205413011891415,0.204945071969878,0.205880951812953,90,0.00107626019239562,549
2021-12-31,0.0187429075261219,0.202861085122666,0.202453361084058,0.203268809161273,93,0.00109211086175939,557
2022-01-01,0.0198493574157387,0.200510130612401,0.200133974286507,0.200886286938294,96,0.00110644988961687,564
2022-01-02,0.0209686883347093,0.198358598752075,0.197982482288701,0.198734715215449,99,0.00111933091897061,571
2022-01-03,0.0220995041897236,0.196405129850138,0.196001430151704,0.196808829548573,102,0.00113081585501428,577
2022-01-04,0.0232404781163252,0.194648567395815,0.194198066730067,0.195099068061564,105,0.0011409739266016,582
2022-01-05,0.0243903589899079,0.193087970374576,0.19257960574775,0.193596335001402,108,0.00114988087358264,587
2022-01-06,0.0255479771882059,0.191722624657689,0.191151152625545,0.192294096689834,111,0.00115761819829806,591
2022-01-07,0.0267122491253884,0.189716766934556,0.189000154652094,0.190433379217018,114,0.00116427193718249,594
2022-01-08,0.0278821818644176,0.188664938300214,0.187877702786339,0.189452173814089,117,0.00116993273902916,597
2022-01-09,0.0290566761910971,0.187800755722363,0.186944827581847,0.18865668386288,120,0.00117449432667957,599
