"date","seroprevalence","cases"
2021-12-01,0.0237117650213469,2
2021-12-02,0.0238609379130311,2
2021-12-03,0.0240159444112837,3
2021-12-04,0.0241769500090113,2
2021-12-05,0.0243441296790622,2
2021-12-06,0.0245176583942843,2
2021-12-07,0.0246977111275256,3
2021-12-08,0.0248844628516343,4
2021-12-09,0.0250780885394583,7
2021-12-10,0.0252787723758134,9
2021-12-11,0.0254867353933873,13
2021-12-12,0.0257022078368351,16
2021-12-13,0.0259254199508116,20
2021-12-14,0.0261566019799729,23
2021-12-15,0.0263959841689736,29
2021-12-16,0.0266437967624688,35
2021-12-17,0.0269002771772967,46
2021-12-18,0.027165691519024,62
2021-12-19,0.0274403130654003,78
2021-12-20,0.0277244150941752,91
2021-12-21,0.0280182708830982,110
2021-12-22,0.0283221537099186,142
2021-12-23,0.0286363368523864,173
2021-12-24,0.0289610991961288,212
2021-12-25,0.0292967420582856,267
2021-12-26,0.0296435723638745,320
2021-12-27,0.0300018970379132,362
2021-12-28,0.0303720230054196,402
2021-12-29,0.0307542571914115,433
2021-12-30,0.0311489065209065,456
2021-12-31,0.0315562844126489,481
2022-01-01,0.0319767302602896,492
2022-01-02,0.0324105899512054,488
2022-01-03,0.0328582093727739,571
2022-01-04,0.0333199344123724,606
2022-01-05,0.0337961109573777,645
2022-01-06,0.0342870848951674,677
2022-01-07,0.0347932125757387,669
2022-01-08,0.0353148921995698,628
2022-01-09,0.0358525324297588,614
2022-01-10,0.036406541929404,510
2022-01-11,0.0369773293616035,451
2022-01-12,0.0375653033894557,409
2022-01-13,0.0381708726760587,370
2022-01-14,0.0387944622781946,346
2022-01-15,0.0394365628273803,344
2022-01-16,0.0400976813488169,335
2022-01-17,0.0407783248677051,346
2022-01-18,0.0414790004092457,348
2022-01-19,0.0422002149986398,321
2022-01-20,0.0429424756610881,319
2022-01-21,0.0437063111539501,318
2022-01-22,0.0444923371632192,307
2022-01-23,0.045301191107048,288
2022-01-24,0.0461335104035883,269
2022-01-25,0.0469899324709925,250
2022-01-26,0.0478710947274128,244
2022-01-27,0.0487776345910013,220
2022-01-28,0.0497102127729449,206
2022-01-29,0.0506695831565689,214
2022-01-30,0.0516565229182331,198
2022-01-31,0.0526718092342976,194
2022-02-01,0.0537162192811222,194
2022-02-02,0.0547905302350668,204
2022-02-03,0.0558955192724915,203
2022-02-04,0.0570319817571726,212
2022-02-05,0.058200785802552,203
2022-02-06,0.0594028177094885,231
2022-02-07,0.0606389637788402,228
2022-02-08,0.0619101103114657,231
2022-02-09,0.0632171436082238,212
2022-02-10,0.0645609499699725,226
2022-02-11,0.0659424203134586,218
2022-02-12,0.0673624640189802,222
2022-02-13,0.0688219950827237,212
2022-02-14,0.0703219275008751,226
2022-02-15,0.071863175269621,226
2022-02-16,0.0734466523851473,244
2022-02-17,0.0750732728436405,237
2022-02-18,0.0767439331065967,253
2022-02-19,0.0784594594967514,264
2022-02-20,0.08022066080215,270
2022-02-21,0.0820283458108382,270
2022-02-22,0.0838833233108613,294
2022-02-23,0.0857864020902648,307
2022-02-24,0.0877383909370941,327
2022-02-25,0.0897400523916529,350
2022-02-26,0.0917919640032779,372
2022-02-27,0.0938946570735636,392
2022-02-28,0.0960486629041051,408
2022-03-01,0.0982545127964968,419
2022-03-02,0.100512738052334,458
2022-03-03,0.102823869973211,493
2022-03-04,0.105188362747569,505
2022-03-05,0.107606362111235,526
2022-03-06,0.110077936686883,523
2022-03-07,0.112603155097188,530
2022-03-08,0.115182085964822,541
2022-03-09,0.11781479791246,533
2022-03-10,0.120501359562775,522
2022-03-11,0.123241736082389,530
2022-03-12,0.126035478813718,514
2022-03-13,0.128882035643124,513
2022-03-14,0.131780854456971,505
2022-03-15,0.134731383141623,459
2022-03-16,0.137733069583442,436
2022-03-17,0.140785361668792,411
2022-03-18,0.143887590086383,388
2022-03-19,0.147038616734303,375
2022-03-20,0.150237186312988,386
2022-03-21,0.153482043522875,374
2022-03-22,0.156771933064399,392
2022-03-23,0.160105599637995,407
2022-03-24,0.163481787944099,392
2022-03-25,0.16689913200864,379
2022-03-26,0.17035582315952,364
2022-03-27,0.173849942050136,332
2022-03-28,0.177379569333884,317
2022-03-29,0.18094278566416,304
2022-03-30,0.184537671694359,271
2022-03-31,0.188162308077878,263
2022-04-01,0.191814696226743,261
2022-04-02,0.195492520587499,239
2022-04-03,0.199193386365322,241
2022-04-04,0.202914898765388,239
2022-04-05,0.206654662992872,225
2022-04-06,0.21041028425295,219
2022-04-07,0.214179367750797,210
2022-04-08,0.217959494748607,183
2022-04-09,0.221748150736644,184
2022-04-10,0.225542797262192,167
2022-04-11,0.229340895872532,154
2022-04-12,0.233139908114949,155
2022-04-13,0.236937295536723,146
2022-04-14,0.240730519685139,137
2022-04-15,0.244517088952049,131
2022-04-16,0.248294699107589,131
2022-04-17,0.252061092766465,126
2022-04-18,0.255814012543382,125
2022-04-19,0.259551201053047,120
2022-04-20,0.263270400910166,107
2022-04-21,0.266969354729445,104
2022-04-22,0.270645922967877,96
2022-04-23,0.274298437451603,87
2022-04-24,0.27792534784905,85
2022-04-25,0.281525103828646,81
2022-04-26,0.285096155058819,77
2022-04-27,0.288636951207997,72
2022-04-28,0.292145941944607,70
2022-04-29,0.295621746730486,63
2022-04-30,0.299063664201108,57
2022-05-01,0.302471162785352,53
2022-05-02,0.305843710912102,50
2022-05-03,0.309180777010237,45
2022-05-04,0.312481829508641,38
2022-05-05,0.315746336836194,31
2022-05-06,0.318973951738116,32
2022-05-07,0.32216506422498,30
