"day","date","cases","seroprevalence","daily_serop_increment","adjusted_serop_cases"
1,2021-12-15,25,0.00460967905892273,0.000787617849953182,402
2,2021-12-16,16,0.00539729690887591,0.000787617849953182,402
3,2021-12-17,29,0.00619545241930919,0.000798155510433274,407
4,2021-12-18,21,0.00700427009887628,0.000808817679567087,412
5,2021-12-19,34,0.00782387543547702,0.000819605336600748,418
6,2021-12-20,27,0.00865439488805031,0.000830519452573286,424
7,2021-12-21,54,0.00949595587769536,0.000841560989645052,429
8,2021-12-22,62,0.0103486867781002,0.00085273090040483,435
9,2021-12-23,94,0.0112127169052557,0.000864030127155524,441
10,2021-12-24,139,0.0120881765064321,0.000875459601176409,446
11,2021-12-25,136,0.0129751967483974,0.000887020241965297,452
12,2021-12-26,125,0.0138739097048527,0.000898712956455272,458
13,2021-12-27,159,0.0147844483430627,0.000910538638210001,464
14,2021-12-28,276,0.0157069465096563,0.000922498166593622,470
15,2021-12-29,280,0.0166415389155739,0.000934592405917534,477
16,2021-12-30,369,0.0175883611201352,0.000946822204561326,483
17,2021-12-31,521,0.0185475495142053,0.000959188394070165,489
18,2022-01-01,507,0.019519241302429,0.00097169178822365,496
19,2022-01-02,422,0.020503574484511,0.00098433318208202,502
20,2022-01-03,439,0.0215006878355142,0.000997113351003165,509
21,2022-01-04,493,0.0225107208851475,0.00101003304963332,515
22,2022-01-05,439,0.0235338138960193,0.00102309301087178,522
23,2022-01-06,547,0.0245701078408234,0.00103629394480409,529
24,2022-01-07,597,0.0256197443784354,0.00104963653761203,535
25,2022-01-08,476,0.0266828658288852,0.00106312145044984,542
26,2022-01-09,1008,0.0277596151471797,0.00107674931829449,549
27,2022-01-10,684,0.028850135895945,0.00109052074876526,556
28,2022-01-11,761,0.0299545722168576,0.00110443632091262,563
29,2022-01-12,665,0.0310730688008363,0.00111849658397867,571
30,2022-01-13,492,0.0322057708569607,0.00113270205612448,578
31,2022-01-14,313,0.0333528240800887,0.00114705322312791,585
32,2022-01-15,372,0.0345143746171376,0.00116155053704892,593
33,2022-01-16,280,0.0356905690320012,0.00117619441486361,600
34,2022-01-17,274,0.0368815542690671,0.00119098523706596,608
35,2022-01-18,465,0.0380874776153033,0.00120592334623615,615
36,2022-01-19,391,0.0393084866608808,0.00122100904557754,623
37,2022-01-20,328,0.0405447292583002,0.00123624259741939,631
38,2022-01-21,300,0.0417963534799859,0.00125162422168568,639
39,2022-01-22,309,0.0430635075743184,0.00126715409433253,646
40,2022-01-23,352,0.0443463399200672,0.00128283234574877,654
41,2022-01-24,289,0.0456449989791921,0.00129865905912485,663
42,2022-01-25,277,0.0469596332479786,0.00131463426878653,671
43,2022-01-26,378,0.0482903912064715,0.00133075795849291,679
44,2022-01-27,323,0.049637421266175,0.00134703005970349,687
45,2022-01-28,218,0.0510008717159811,0.00136345044980613,696
46,2022-01-29,181,0.0523808906662953,0.00138001895031414,704
47,2022-01-30,215,0.0537776259913215,0.00139673532502627,713
48,2022-01-31,161,0.0551912252694747,0.00141359927815321,721
49,2022-02-01,232,0.0566218357218844,0.00143061045240966,730
50,2022-02-02,212,0.0580696041489552,0.00144776842707084,739
51,2022-02-03,226,0.0595346768649511,0.00146507271599583,747
52,2022-02-04,268,0.0610171996305671,0.001482522765616,756
53,2022-02-05,71,0.0625173175834574,0.00150011795289029,765
54,2022-02-06,188,0.0640351751666831,0.00151785758322576,774
55,2022-02-07,162,0.0655709160550493,0.00153574088836617,784
56,2022-02-08,300,0.0671246830792961,0.00155376702424681,793
57,2022-02-09,204,0.0686966181481138,0.0015719350688177,802
58,2022-02-10,292,0.0702868621679477,0.00159024401983388,811
59,2022-02-11,205,0.071895554960563,0.00160869279261533,821
60,2022-02-12,265,0.0735228351783396,0.00162728021777658,830
61,2022-02-13,167,0.0751688402172646,0.00164600503892498,840
62,2022-02-14,181,0.0768337061275962,0.00166486591033166,849
63,2022-02-15,169,0.0785175675221693,0.00168386139457311,859
64,2022-02-16,306,0.0802205574823152,0.00170298996014584,869
65,2022-02-17,231,0.0819428074613708,0.00172224997905562,879
66,2022-02-18,238,0.0836844471857511,0.00174163972438035,889
67,2022-02-19,191,0.0854456045535615,0.00176115736781041,899
68,2022-02-20,268,0.087226405530727,0.00178080097716549,909
69,2022-02-21,181,0.0890269740446185,0.00180056851389149,919
70,2022-02-22,291,0.0908474318751555,0.00182045783053703,929
71,2022-02-23,262,0.0926878985433676,0.00184046666821208,939
72,2022-02-24,343,0.0945484911973988,0.00186059265403116,949
73,2022-02-25,309,0.0964293244959405,0.00188083329854177,960
74,2022-02-26,233,0.0983305104890804,0.00190118599313982,970
75,2022-02-27,272,0.100252158496557,0.00192164800747674,981
76,2022-02-28,345,0.102194374983413,0.001942216486856,991
77,2022-03-01,384,0.10415726343304,0.00196288844962672,1002
78,2022-03-02,406,0.106140924217612,0.00198366078457174,1012
79,2022-03-03,501,0.108145454465908,0.00200453024829622,1023
80,2022-03-04,464,0.110170947928527,0.00202549346261915,1034
81,2022-03-05,371,0.112217494840495,0.00204654691196782,1044
82,2022-03-06,387,0.114285181781278,0.00206768694078313,1055
83,2022-03-07,420,0.116374091532212,0.00208890975093406,1066
84,2022-03-08,660,0.11848430293136,0.00211021139914791,1077
85,2022-03-09,649,0.120615890725819,0.00213158779445904,1088
86,2022-03-10,584,0.122768925421498,0.00215303469567879,1099
87,2022-03-11,611,0.124943473130389,0.00217454770889175,1110
88,2022-03-12,348,0.127139595415371,0.00219612228498189,1121
89,2022-03-13,438,0.129357349132564,0.00221775371719252,1132
90,2022-03-14,500,0.131596786271289,0.00223943713872499,1143
91,2022-03-15,602,0.133857953791669,0.00226116752038047,1154
92,2022-03-16,574,0.136140893459918,0.00228293966824905,1165
93,2022-03-17,635,0.138445641681371,0.00230474822145238,1176
94,2022-03-18,499,0.140772229331314,0.00232658764994342,1187
95,2022-03-19,344,0.143120681583684,0.00234845225237029,1199
96,2022-03-20,378,0.145491017737693,0.00237033615400839,1210
