"day","date","daily_serop","daily_serop_increment","daily_serop_q025","daily_serop_q975","cases","hosp","death","cum_cases","cum_case_per_capita","daily_case_increment","cum_case_per_capita_q025","cum_case_per_capita_q975","underreporting_factor","daily_underrep_q025","daily_underrep_q975","est_inci_case","est_inci_serop"
62,2021-12-01,0.0237117650213469,0.00014346685825592,0.0088288742658201,0.0385946557768737,2,0,0,274,0.000536676133581432,0.00000391734404074032,-0.0035525924262472,0.00462594469341007,44.1826336921484,42.4175351506391,45.9477322336576,88,73
63,2021-12-02,0.0238609379130311,0.000149172891684188,0.00897804715750429,0.0387438286685578,1,0,0,275,0.000538634805601802,0.00000195867202037027,-0.00355063375422683,0.00462790336543044,44.2989158236291,42.5338172821199,46.0640143651384,44,76
64,2021-12-03,0.0240159444112837,0.000155006498252647,0.00913305365575694,0.0388988351668105,4,0,0,279,0.000546469493683283,0.00000783468808148076,-0.00354279906614535,0.00463573805351192,43.9474566995731,42.1823581580639,45.7125552410823,175,79
65,2021-12-04,0.0241769500090113,0.000161005597727581,0.00929405925348452,0.0390598407645381,5,0,0,284,0.000556262853785134,0.00000979336010185092,-0.0035330057060435,0.00464553141361377,43.4631754475377,41.6980769060285,45.228273989047,217,82
66,2021-12-05,0.0243441296790622,0.000167179670050949,0.00946123892353547,0.039227020434589,1,0,0,285,0.000558221525805504,0.00000195867202037016,-0.00353104703402313,0.00464749008563414,43.610159325071,41.8450607835617,45.3752578665802,43,85
67,2021-12-06,0.0245176583942843,0.000173528715222096,0.00963476763875756,0.0394005491498111,3,0,0,288,0.000564097541866614,0.00000587601606111059,-0.00352517101796202,0.00465336610169525,43.4635086569509,41.6984101154417,45.2286071984602,130,88
68,2021-12-07,0.0246977111275256,0.000180052733241232,0.0098148203719988,0.0395806018830523,1,0,0,289,0.000566056213886985,0.00000195867202037016,-0.00352321234594165,0.00465532477371562,43.6311986718276,41.8661001303184,45.3962972133369,43,91
69,2021-12-08,0.0248844628516343,0.00018675172410873,0.0100015720961075,0.0397673536071611,2,0,0,291,0.000569973557927725,0.00000391734404074043,-0.00351929500190091,0.00465924211775636,43.6589776938209,41.8938791523117,45.4240762353302,87,95
70,2021-12-09,0.0250780885394583,0.000193625687823995,0.0101951977839315,0.0399609792949851,2,0,0,293,0.000573890901968465,0.00000391734404074032,-0.00351537765786017,0.0046631594617971,43.6983553031414,41.9332567616322,45.4634538446507,87,98
71,2021-12-10,0.0252787723758134,0.000200683836355076,0.0103958816202866,0.0401616631313401,1,0,0,294,0.000575849573988836,0.00000195867202037016,-0.0035134189858398,0.00466511813381747,43.8982218927603,42.133123351251,45.6633204342695,43,102
