days,booster_daily_rate
1,4513.0526315789475
58,1738.4285714285713
65,2301.5714285714284
72,138.57142857142858
79,226.71428571428572
86,174.28571428571428
93,112.28571428571429
100,108
107,76.42857142857143
114,71.71428571428571
128,145
142,126
156,74.60714285714286
