"days","double_daily_rate"
1,0
8,44.2616655017316
15,73.9816970883736
22,121.562134254217
29,194.241624700238
36,296.935785005667
43,424.550457039673
51,639.775041223088
58,642.622740266878
65,632.136724939836
72,541.992391301968
79,412.597919993302
86,286.547390262172
93,186.550631071832
100,116.390743370501
107,70.6999822091893
114,42.2497586573591
121,25.0020005125469
135,23.3343719091666
149,7.99645934233143
163,2.72862852190156
191,1.2463622701637
